line_number,raw_line,cycle_id,copy_count,segment_list,segment_ids,orientations,oriented_segments,segment_count
7,"Cycle=1;Copy_count=99.5734741489;Segments=2+,4+,1+",1,99.5734741489,"2+,4+,1+","[2, 4, 1]","[""+"", ""+"", ""+""]","[{""segment_id"": 2, ""orientation"": ""+""}, {""segment_id"": 4, ""orientation"": ""+""}, {""segment_id"": 1, ""orientation"": ""+""}]",3
8,"Cycle=2;Copy_count=13.3171554681;Segments=3+,1+",2,13.3171554681,"3+,1+","[3, 1]","[""+"", ""+""]","[{""segment_id"": 3, ""orientation"": ""+""}, {""segment_id"": 1, ""orientation"": ""+""}]",2
